video_id,title,published_at,duration_sec,views,likes,comments,tags,category_id,definition,has_captions
bgi96tG2y9U,Ai_classify in Databricks,2026-02-17 13:00:59+00:00,518,3107,58,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
kQ7Es0m82bs,Ai_extract in Databricks,2026-02-10 13:01:30+00:00,665,3276,72,9,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
3rOk2sIp9P4,Ai_Parse_Document in Databricks | Pulling Text and Tabular Data from PDFs,2026-02-03 13:00:07+00:00,884,3967,101,10,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
ItzSyfNEptk,What is IDP in Databricks?,2026-01-27 13:00:39+00:00,487,4689,135,10,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
VmU_5RuqUB8,How to Collaborate in Data Roles | Soft Skills in Tech,2026-01-20 13:01:05+00:00,489,3619,143,11,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
pzovb0o822Y,How to Learn to Solve Problems | Problem Solving Lifecycle | Soft Skills in Tech,2026-01-13 13:01:53+00:00,561,9925,447,18,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
pOWdsMPeRvo,Communication in Data Roles | Soft Skills in Tech,2026-01-06 13:01:46+00:00,945,10080,454,30,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
mCSbYbXWmH0,"What Does a Data Analyst Do: Meetings, Data, Excel, SQL",2025-12-30 13:01:41+00:00,385,11615,433,29,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
JWczuteySBM,"Day in the Life of a Data Analyst: Meetings, SQL, So Much Food",2025-12-23 13:00:40+00:00,680,11163,404,34,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
fF8erdGR7S8,Data Analyst Salary in 2025: $50k to $175k,2025-12-16 13:01:15+00:00,561,8069,282,49,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
CoqZTt528ew,Learn Databricks in Under 2 Hours,2025-12-09 13:00:23+00:00,6015,134080,2596,127,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
jegmI_hSx84,Building an End-to-End Data Project in Databricks (Free Edition),2025-12-02 13:01:37+00:00,2369,33464,775,38,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,Databricks,databricks free edition,free edition databricks,learn databricks,databricks for data analysts,ai in databricks,databricks genie,how to use databricks",27,hd,False
naFraZ1kMi8,Genie and AI in Databricks,2025-11-25 13:00:42+00:00,1144,16759,374,22,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,Databricks,databricks free edition,free edition databricks,learn databricks,databricks for data analysts,ai in databricks,databricks genie,how to use databricks",27,hd,False
3DZQopaf8xA,Analyzing Data with SQL and Visualizations in Databricks,2025-11-18 13:00:07+00:00,1260,16657,508,29,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,Databricks,databricks free edition,free edition databricks,learn databricks,databricks for data analysts,ai in databricks,databricks genie,how to use databricks",27,hd,False
QSzqvW4amMc,Working with Data in Databricks (Free Edition),2025-11-11 13:00:54+00:00,797,23047,688,50,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,Databricks,databricks free edition,free edition databricks,learn databricks,databricks for data analysts,ai in databricks,databricks genie,how to use databricks",27,hd,False
Nr-pLhF0dmI,Data is for Decision Making,2025-11-06 13:22:22+00:00,51,16728,785,10,,27,hd,False
fNQRQkx1SIQ,Intro to Databricks (Free Edition) | UI Walkthrough,2025-11-04 13:01:34+00:00,645,83658,2588,63,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,Databricks,databricks free edition,free edition databricks,learn databricks,databricks for data analysts,ai in databricks,databricks genie,how to use databricks",27,hd,False
AC4L_tbiwB8,"Job Market in 2025: Over Saturated, Low-Paying, Helpless",2025-10-28 12:00:31+00:00,604,26825,828,144,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
LkMaNTLG0z0,I just Turned 30 - What I've learned + Advice for You,2025-10-21 12:00:48+00:00,676,15340,973,214,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
0svyXh27sAc,Analystbuilder.com to practice SQL and Python on your Phone!,2025-10-20 12:46:38+00:00,28,9935,308,13,,27,hd,False
cMeYNpFch_A,Excel is Key!,2025-10-16 12:15:55+00:00,45,10558,429,12,,27,hd,False
lLoJHifWTRw,Learn Git and GitHub in 1 Hour!,2025-10-14 04:00:57+00:00,3445,42730,1145,39,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
usTbqD3BmyU,Working with Git and GitHub Together,2025-10-07 12:01:32+00:00,671,8821,161,5,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
Mh7f4P42IzQ,Data Viz ain’t all that!,2025-10-03 11:52:23+00:00,45,12226,503,5,,27,hd,False
KhORHy58Q-s,Connecting Git to GitHub,2025-09-30 12:00:40+00:00,186,12992,161,8,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
Am3TErrQpNs,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-25 14:10:51+00:00,4109,3502,120,7,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
_uKv_vxu398,Branching and Merging in Git,2025-09-23 12:01:14+00:00,361,5106,102,2,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
36Uw2DZGIvQ,Communication is very important,2025-09-19 12:25:58+00:00,44,7768,313,13,,27,hd,False
--UrhIxxKFU,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-18 14:14:32+00:00,4027,2788,134,11,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
zouVqtlHRHw,Reverting Back to a Previous Commit in Git,2025-09-16 12:01:54+00:00,431,8503,113,3,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
ggPljOKc_C4,Why you’re not getting Interviews,2025-09-12 11:41:07+00:00,51,9676,373,5,,27,hd,False
XBhhfz0CUJY,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-12 06:55:47+00:00,3941,3116,115,10,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
SwtL-6w-B5c,Basics of Git and using VS Code with Git,2025-09-09 12:00:50+00:00,964,15487,329,4,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
6KGQpUg-y_8,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-09-04 14:07:30+00:00,3796,3294,134,7,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
